mom30,mom90,vol30,ticker,date,fwd_ret
-0.0244259711444966,,0.0180143641394964,AAPL,2018-02-14,0.08707575515577393
0.0085077458913715,,0.0190693259681891,AAPL,2018-02-15,0.06363163801657246
0.0005951430602666,,0.0190639452132226,AAPL,2018-02-16,0.013353685629237555
-0.0139960573725913,,0.0189552834060834,AAPL,2018-02-20,0.016296769077892792
-0.0148124549513042,,0.018961009354766,AAPL,2018-02-21,-0.0033753636403024423
-0.0064634630501546,,0.0190272315440654,AAPL,2018-02-22,-0.01297734398581607
0.011048405019586,,0.0192913825322993,AAPL,2018-02-23,-0.043825938382957674
0.0252148773463658,,0.0195899562729719,AAPL,2018-02-26,-0.015555695648379886
0.0114477595425053,,0.0195240939744062,AAPL,2018-02-27,-0.05939555418259512
0.0150757313535716,,0.0194993670879261,AAPL,2018-02-28,-0.0667638623952923
-0.0189086142759464,,0.0195363535946053,AAPL,2018-03-01,-0.058050907468082724
-0.0130066626206744,,0.0195815291807354,AAPL,2018-03-02,-0.047542781393106415
-0.005150139457653,,0.0195762077400256,AAPL,2018-03-05,-0.0443789806820829
0.0022049659403622,,0.0195160581332784,AAPL,2018-03-06,-0.029465055975963605
-0.0073224945778467,,0.0195936401765363,AAPL,2018-03-07,-0.021904823733250756
0.0197531478266106,,0.0194563823945401,AAPL,2018-03-08,-0.037993280348494696
0.0561263271927983,,0.0193471950196886,AAPL,2018-03-09,-0.038939809866830655
0.0638500790695557,,0.0193977903455848,AAPL,2018-03-12,-0.037392896223132244
0.0758737901739821,,0.0190484471066957,AAPL,2018-03-13,-0.05106754049140594
0.0730525496943064,,0.0190944973825972,AAPL,2018-03-14,-0.032394322396408715
0.0713637573975867,,0.0190960277689203,AAPL,2018-03-15,-0.020791575582607913
0.0653586909330405,,0.0191274533738474,AAPL,2018-03-16,-0.0158410562205481
0.0966648520675468,,0.0174253852516483,AAPL,2018-03-19,0.0012356061993006318
0.1243814817043074,,0.0166115168824134,AAPL,2018-03-20,0.014489406014032813
0.0548258041774705,,0.0157044874887686,AAPL,2018-03-21,-0.013923650339245364
0.0626702171029651,,0.0153850205438093,AAPL,2018-03-22,-0.03240472412290307
0.0674344593529825,,0.0151133938432386,AAPL,2018-03-23,-0.021379574126377032
0.1045967877104243,,0.017145825232287,AAPL,2018-03-26,-0.012125565957771034
0.0346015320719741,,0.0164757740717123,AAPL,2018-03-27,-0.0527869690145637
0.0130217346110586,,0.0165386658783916,AAPL,2018-03-28,-0.02447444858817116
0.0024496298318834,,0.0162539417277078,AAPL,2018-03-29,-0.024987897341389842
-0.0364759293807717,,0.0150172596682813,AAPL,2018-04-02,-0.015019712169641042
-0.0234296279472965,,0.0151534872127678,AAPL,2018-04-03,0.014518805080949937
-0.0013968356579471,,0.0155666320766709,AAPL,2018-04-04,0.04857781038338849
0.0101129932091037,,0.0155904273273837,AAPL,2018-04-05,0.030767792428973095
-0.0238835724627894,,0.0162156581042411,AAPL,2018-04-06,0.0638307739825894
-0.0310543579056968,,0.0159842102384266,AAPL,2018-04-09,0.09965555583495767
-0.031960578390993,,0.0159425127594097,AAPL,2018-04-10,0.09409001160149444
-0.0333539219495018,,0.0159517397517827,AAPL,2018-04-11,0.08144282392978242
-0.0223443665483424,,0.0160739640966984,AAPL,2018-04-12,0.10206455635755218
-0.0015426330719172,,0.0157668080461094,AAPL,2018-04-13,0.08715511547465815
-0.0022132226427407,,0.0157571624586445,AAPL,2018-04-16,0.0809561331750166
0.0080306697803009,,0.0159453161829524,AAPL,2018-04-17,0.06449144575232846
0.0066228412866042,,0.015951084477398,AAPL,2018-04-18,0.059838702043848446
-0.0127404592534235,,0.0167090793538031,AAPL,2018-04-19,0.05550539449791736
-0.0634112793936584,,0.0181337329978681,AAPL,2018-04-20,0.08234015127973837
-0.0818978618002989,,0.0177673608806623,AAPL,2018-04-23,0.13657686693598126
-0.1033457969889398,,0.0177234149563699,AAPL,2018-04-24,0.13702326401508746
-0.0906819280920409,,0.017739967030282,AAPL,2018-04-25,0.16046634436460327
-0.0796912210650436,,0.0177470162944873,AAPL,2018-04-26,0.1541429262648082
-0.0914078923961786,,0.0178056635680787,AAPL,2018-04-27,0.15276578488663595
-0.0716775529839401,,0.0182186394644658,AAPL,2018-04-30,0.16205368158814748
-0.0353681023182254,,0.0186261327095203,AAPL,2018-05-01,0.1389511714092957
0.0075895678989716,,0.020374247644821,AAPL,2018-05-02,0.10934714133958678
0.0328141023898427,,0.0199016126025733,AAPL,2018-05-03,0.08157408275129696
0.0887179547782015,,0.0208405566321451,AAPL,2018-05-04,0.08864107149850109
0.1225904317753483,,0.0202533044087961,AAPL,2018-05-07,0.05562412424894392
0.0768651350960789,,0.0185239133765601,AAPL,2018-05-08,0.05167391541858257
0.1129856874857073,,0.0177482873926157,AAPL,2018-05-09,0.04383798193110433
0.1415185698828167,,0.0176236309160923,AAPL,2018-05-10,0.027109088862528496
0.1283659929250067,0.1035011214251058,0.0176775225666468,AAPL,2018-05-11,0.01014204531631413
0.1331623021066545,0.1011181589970664,0.0176057147550508,AAPL,2018-05-14,0.01956632707929229
0.1114609952172194,0.0860658577289898,0.0177347523018491,AAPL,2018-05-15,0.013553192647971057
0.1007845964316829,0.0838618574393659,0.0175297103348002,AAPL,2018-05-16,0.023385563405919463
0.0862908487681413,0.0810231420084373,0.0176033004958297,AAPL,2018-05-17,0.003507641970617259
0.1107517430555014,0.0772151878627609,0.0168169810348788,AAPL,2018-05-18,0.009358615746238197
0.1076362173807565,0.0850968681699804,0.0167884671761452,AAPL,2018-05-21,-0.003327562308849119
0.0844543799637604,0.0762650325858975,0.0165696860851333,AAPL,2018-05-22,-0.006022715733450146
0.0965343367706543,0.0720947903445476,0.0165198809921443,AAPL,2018-05-23,-0.009083309171156517
0.0846185018431415,0.076369443569251,0.0164890079195345,AAPL,2018-05-24,-0.0182628833558669
0.0834266183098144,0.0613007950847388,0.0164889782851869,AAPL,2018-05-25,-0.031783042413291995
0.0728275248388785,0.0565300961033714,0.0165162382331724,AAPL,2018-05-29,-0.022006324786338904
0.0560091270505829,0.0590073178073704,0.0163961866209107,AAPL,2018-05-30,-0.019904104581909388
0.0548278097282126,0.0641550300877542,0.016407288377987,AAPL,2018-05-31,-0.010666581397680175
0.1051707741140222,0.083100887427054,0.0156248705364039,AAPL,2018-06-01,-0.009418330794601637
0.1620187480403287,0.1098316680711235,0.0131947903509171,AAPL,2018-06-04,-0.01608462827238144
0.1743847841116443,0.1387208781521944,0.0131150109802669,AAPL,2018-06-05,-0.041234693807921885
0.1950902200857547,0.1400033069508555,0.0126035558499819,AAPL,2018-06-06,-0.04091859751423221
0.1867158629154675,0.1609777527784781,0.0127009556615321,AAPL,2018-06-07,-0.03098251765175708
0.1718377993647073,0.1572363274381132,0.0129846060179351,AAPL,2018-06-08,-0.01488701399830572
0.1826477843749665,0.1512279718984372,0.0126772595729625,AAPL,2018-06-11,-0.007041582089142184
0.1679867965092383,0.1551347217141485,0.0124581203951271,AAPL,2018-06-12,-0.017517921866324837
0.1320837655610367,0.1976063935593504,0.0122145256219791,AAPL,2018-06-13,-0.0065011049911815055
0.0847579698240932,0.2289386310357382,0.0096130431622645,AAPL,2018-06-14,0.0033036696537116494
0.0716727499601748,0.1675220527347309,0.0099029268046691,AAPL,2018-06-15,0.0005765370021653116
0.0306686497756472,0.1924301828469248,0.0070459848663237,AAPL,2018-06-18,0.013821069332553115
0.0067294631910856,0.20635557057573,0.0076079190637132,AAPL,2018-06-19,0.008795100361924657
0.006283968990669,0.1969765612553768,0.0075991675008261,AAPL,2018-06-20,0.03333493755753136
-0.0063238464668854,0.1442148091251125,0.0075586326161578,AAPL,2018-06-21,0.026488274109458088
-0.0231892933382309,0.1295674143317065,0.0070576888130266,AAPL,2018-06-22,0.033161053109269645
-0.0340421426078456,0.0926239807061481,0.0074979521866251,AAPL,2018-06-25,0.04369435935977539
-0.0197711565289135,0.0702424288915326,0.0078888833095613,AAPL,2018-06-26,0.06944082581271482
-0.0122289307425977,0.0721463531112776,0.0077283497541063,AAPL,2018-06-27,0.05302839125564485
-0.0142413956713748,0.0835921700550417,0.0076479221796362,AAPL,2018-06-28,0.03703287696716906
-0.0100542375892991,0.0862442221052015,0.0075746155839991,AAPL,2018-06-29,0.023773428094024718
