date,AAPL,ABBV,ACN,ADBE,AMAT,AMD,AMT,AMZN,AVGO,BA,BAC,BKNG,BLK,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,DIS,GE,GOOGL,GS,HD,HON,IBM,INTC,ISRG,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,MDLZ,META,MS,MSFT,NFLX,NKE,NOW,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,SBUX,SPGI,TMO,TXN,UNH,UPS,V,WMT,XOM
2018-01-02,40.34188461303711,69.9016342163086,136.70785522460938,177.6999969482422,48.43459701538086,10.979999542236328,116.0905532836914,59.45050048828125,21.171329498291016,282.88641357421875,24.90553092956543,1759.3768310546875,418.6921081542969,197.22000122070312,131.85157775878906,168.7283935546875,103.32313537597656,30.596410751342773,90.32743072509766,79.0628890991211,106.94322967529297,81.26493835449219,53.292930603027344,215.3282012939453,155.8224334716797,117.66822814941406,104.00244140625,39.330387115478516,125.08333587646484,112.0600357055664,86.73035430908203,35.74203109741211,138.24069213867188,75.15193939208984,79.05191040039062,145.27603149414062,144.44076538085938,35.32158660888672,180.30845642089844,41.06486892700195,79.05038452148438,20.10700035095215,57.670406341552734,131.72999572753906,4.928805828094482,41.360233306884766,93.32514953613281,24.22959327697754,73.3420639038086,69.39876556396484,53.22238540649414,48.40043640136719,157.0321502685547,189.08404541015625,84.3541259765625,195.89990234375,91.093994140625,108.33485412597656,28.973352432250977,58.97087860107422
2018-01-03,40.33485794067383,70.99551391601562,137.33876037597656,181.0399932861328,49.29296875,11.550000190734863,116.54297637939453,60.209999084472656,21.40285301208496,283.8013000488281,24.82223892211914,1798.2264404296875,423.1096496582031,199.7899932861328,132.0531005859375,170.7532501220703,104.19396209716797,30.840482711791992,90.98587799072266,80.11488342285156,107.40238189697266,82.03331756591797,54.20216369628906,213.32374572753906,156.63461303710938,116.69602966308594,106.8612289428711,37.995582580566406,127.94000244140625,113.13047790527344,86.8187255859375,35.66353988647461,139.4001007080078,75.56015014648438,79.39701843261719,147.10264587402344,143.83203125,35.463172912597656,183.53854370117188,41.17503356933594,79.41826629638672,20.5049991607666,57.66131591796875,132.91000366210938,5.2531914710998535,42.31818389892578,93.0801010131836,24.409135818481445,73.25304412841797,69.3123550415039,53.826454162597656,49.30747985839844,159.5540771484375,192.5526123046875,86.6393814086914,197.9549560546875,93.11223602294922,109.41336822509766,29.226093292236328,60.12906265258789
2018-01-04,40.522216796875,70.59061431884766,138.96495056152344,183.22000122070312,49.576053619384766,12.119999885559082,114.84025573730469,60.47949981689453,21.409990310668945,282.7244567871094,25.147096633911133,1781.5567626953125,428.6952209472656,200.69000244140625,133.86663818359375,169.4272003173828,105.56950378417969,30.927743911743164,90.70266723632812,80.49974822998047,107.35455322265625,83.75082397460938,54.4127082824707,216.30516052246094,157.8776397705078,118.27299499511719,109.02558135986328,37.298805236816406,125.63999938964844,113.12240600585938,88.06245422363281,36.16584777832031,141.58627319335938,75.89742279052734,80.01824188232422,149.00570678710938,144.8409881591797,35.54645919799805,183.20062255859375,41.80449295043945,80.11726379394531,20.562999725341797,57.62498474121094,133.85000610351562,5.280882835388184,42.73506546020508,93.53858184814453,24.46232032775879,73.77083587646484,68.78713989257812,53.89992904663086,49.492252349853516,161.9452667236328,194.9629364013672,86.52750396728516,198.8141632080078,93.71625518798828,109.82018280029297,29.25254249572754,60.2122917175293
2018-01-05,40.98357009887695,71.81948852539062,140.1112823486328,185.33999633789062,49.859127044677734,11.880000114440918,115.58056640625,61.457000732421875,21.536855697631836,294.32232666015625,25.263708114624023,1797.6153564453125,432.3477478027344,201.4199981689453,135.9824676513672,168.21766662597656,106.97471618652344,31.3560733795166,90.55400085449219,81.00439453125,106.77104949951172,83.79602813720703,55.13423156738281,215.20188903808594,159.52679443359375,119.09980773925781,109.55821228027344,37.55905532836914,126.336669921875,114.05608367919922,87.49715423583984,36.15799331665039,142.82537841796875,76.82926177978516,81.74388885498047,152.0946502685547,145.1328582763672,36.00452423095703,185.70518493652344,41.78875732421875,81.11055755615234,20.999000549316406,58.11549758911133,135.00999450683594,5.325634479522705,42.9922981262207,93.8073501586914,24.50886344909668,73.81939697265625,69.33892059326172,54.259098052978516,50.06333541870117,164.11227416992188,198.3041229248047,87.19072723388672,202.6053009033203,94.00352478027344,112.45026397705078,29.425928115844727,60.16374969482422
2018-01-08,40.831356048583984,70.66876983642578,141.2310028076172,185.0399932861328,51.06452560424805,12.279999732971191,116.81441497802734,62.34349822998047,21.588397979736328,295.5707092285156,25.088787078857422,1825.4833984375,435.5723876953125,202.74000549316406,139.399658203125,168.87173461914062,107.72679901123047,31.681291580200195,91.00003814697266,81.46621704101562,105.24056243896484,82.62089538574219,55.328895568847656,212.0772247314453,159.14556884765625,118.45677185058594,110.21898651123047,37.55905532836914,130.6199951171875,114.200927734375,87.62635803222656,36.10305404663086,142.7722930908203,76.43878173828125,80.85517120361328,152.55441284179688,145.03277587890625,35.82130432128906,187.1264190673828,41.61564254760742,81.19332885742188,21.204999923706055,58.633243560791016,135.3000030517578,5.4888153076171875,43.444664001464844,93.26981353759766,24.236251831054688,74.20777130126953,69.23258209228516,54.0958251953125,49.81138229370117,165.4946746826172,198.62742614746094,87.60621643066406,199.08876037597656,95.14522552490234,112.90436553955078,29.86087417602539,60.43422317504883
2018-01-09,40.8266716003418,71.20147705078125,141.7019805908203,186.6999969482422,50.096561431884766,11.819999694824219,116.02477264404297,62.6349983215332,21.289470672607422,303.4615173339844,25.21372413635254,1838.771728515625,439.23309326171875,203.02000427246094,139.73553466796875,166.9095458984375,108.01380157470703,31.48298454284668,90.51152038574219,84.34000396728516,105.16403198242188,83.88639831542969,55.25837707519531,213.8711700439453,160.02401733398438,119.42894744873047,110.46170806884766,36.61880874633789,132.53334045410156,116.0118408203125,88.07054901123047,36.283573150634766,144.1618194580078,76.37664031982422,81.57996368408203,152.77474975585938,144.7075958251953,35.80463790893555,186.7189178466797,41.93824768066406,81.13813781738281,20.930999755859375,58.21540069580078,135.4499969482422,5.487330436706543,43.6850700378418,93.3409652709961,24.209651947021484,73.66568756103516,69.73115539550781,53.279537200927734,49.70219039916992,165.5507354736328,201.9391632080078,88.20549774169922,200.08084106445312,95.10104370117188,112.6867904663086,29.50233268737793,60.1776123046875
2018-01-10,40.817283630371094,70.81082916259766,141.204345703125,187.11000061035156,48.67201614379883,11.960000038146973,113.19509887695312,62.71649932861328,20.839895248413086,305.2055358886719,25.44696044921875,1846.2833251953125,437.2834167480469,205.61000061035156,139.265380859375,166.1300506591797,107.66742706298828,31.657499313354492,91.0920639038086,84.0235595703125,104.7144546508789,85.5587158203125,55.12678909301758,214.19961547851562,158.9467010498047,120.25570678710938,110.69766235351562,35.6785774230957,141.25332641601562,115.87503814697266,89.0396957397461,36.15799331665039,143.9316864013672,76.41214752197266,81.2520980834961,153.11952209472656,144.6825408935547,35.50481414794922,186.68911743164062,42.433956146240234,80.77027130126953,21.25200080871582,58.33348846435547,136.22999572753906,5.530351638793945,43.45357131958008,92.86666107177734,24.24954605102539,73.1964111328125,70.2231216430664,53.271366119384766,50.23971176147461,164.02821350097656,202.12533569335938,87.65414428710938,198.59275817871094,95.60192108154297,112.56380462646484,29.290748596191406,59.6990966796875
2018-01-11,41.049156188964844,71.01826477050781,141.3909454345703,188.9199981689453,48.580711364746094,12.140000343322754,111.02349090576172,63.83399963378906,20.893014907836914,312.6960144042969,25.53858757019043,1866.186279296875,442.50714111328125,206.69000244140625,142.06121826171875,169.67808532714844,107.96430206298828,31.80821418762207,93.86039733886719,84.3228759765625,106.16841888427734,85.96549224853516,55.22163009643555,214.87342834472656,161.33338928222656,120.89106750488281,110.71118927001953,36.4425163269043,140.4566650390625,116.53499603271484,89.51618194580078,36.13445281982422,144.98497009277344,76.66952514648438,82.6067123413086,154.13479614257812,144.58250427246094,35.40487289428711,186.6195526123047,42.646400451660156,81.00939178466797,21.724000930786133,58.39707565307617,137.5800018310547,5.540241718292236,43.587135314941406,92.39237213134766,24.30939292907715,72.93751525878906,69.7112045288086,53.41014862060547,50.3908805847168,164.76608276367188,204.44754028320312,88.42920684814453,199.64682006835938,98.30521392822266,113.37739562988281,29.39360237121582,60.288578033447266
2018-01-12,41.47304153442383,71.78378295898438,142.27957153320312,195.0500030517578,48.808990478515625,12.020000457763672,109.40299224853516,65.26000213623047,20.955657958984375,320.40570068359375,25.980051040649414,1892.1124267578125,456.9935607910156,210.16000366210938,142.9848175048828,171.8821563720703,109.09243774414062,32.41899871826172,94.58963012695312,85.00712585449219,107.58413696289062,84.79032897949219,56.145263671875,216.4735565185547,162.7752685546875,121.77144622802734,109.99645233154297,36.2998046875,139.67999267578125,117.31573486328125,90.99411010742188,36.22078323364258,145.28591918945312,77.19312286376953,87.0243911743164,155.4853515625,144.73260498046875,35.371559143066406,178.27101135253906,43.37028884887695,82.40737915039062,22.12299919128418,58.74225997924805,138.19000244140625,5.513043403625488,44.08577346801758,92.7876205444336,24.296091079711914,72.5006332397461,69.47188568115234,53.36932373046875,50.72681427001953,165.92437744140625,205.92701721191406,90.0672607421875,202.525634765625,98.76925659179688,113.61392211914062,29.64339828491211,60.69775390625
2018-01-16,41.26226806640625,73.3218765258789,140.3690643310547,192.4600067138672,49.7678108215332,11.90999984741211,111.56639862060547,65.24299621582031,20.873197555541992,319.4050598144531,26.021699905395508,1892.181396484375,463.1386413574219,210.2899932861328,142.15359497070312,171.60438537597656,107.75650024414062,32.1572265625,93.46389770507812,85.0755386352539,105.88146209716797,82.30448913574219,56.147743225097656,217.67799377441406,162.6841583251953,120.86808013916016,110.47522735595703,36.21584701538086,140.02333068847656,118.20108795166016,90.67105865478516,36.51902389526367,143.4715118408203,75.69329071044922,87.11930084228516,155.4470977783203,144.8242950439453,35.80463790893555,177.29702758789062,42.96112823486328,81.2576904296875,22.152999877929688,57.606807708740234,139.7899932861328,5.442086219787598,44.157012939453125,93.16706085205078,24.335983276367188,72.994140625,69.71788787841797,55.71208190917969,50.8611946105957,164.23367309570312,203.81065368652344,90.22704315185547,206.29905700683594,97.87797546386719,113.89776611328125,29.59049415588379,60.31633377075195
